,name,price,rating,wifi,GPS,NFC,voice_calling,Bluetooth,Bluetooth_calling,display_size_inches,Touch,ram_gb,memory_inbuilt,water_resistance,dust_proof,scratch_resistance,heart_rate_monitor,Blood_Pressure_monitor,calorie_count,sleep_monitor,step_count,Pedometer,Blood_oxygen,Altimeter,alarm_clock,stopwatch,reminder,timer,battery
371,boAt Lunar Comet Smartwatch,1399,4.35,False,False,False,False,Bluetooth,True,1.39,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
372,Wings Meta Smartwatch,1299,4.4,False,False,False,False,Bluetooth 5.3,True,1.85,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
373,Fire Boltt Talk 2 Pro Ultra Smartwatch,1699,4.3,False,False,False,False,Bluetooth,True,1.39,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
374,Garmin Forerunner 65 Smartwatch,29999,4.65,True,True,False,False,Bluetooth,False,1.2,True,,,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,14days Battery
375,Maxima Max Pro Nova Smartwatch,1399,4.4,False,False,False,False,Bluetooth 5.0,True,1.39,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
376,Cellecor A9 Pro Stark Smartwatch,2399,4.55,False,False,False,False,Bluetooth 4.0,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
377,Crossbeats Monarch Regal Smartwatch,1999,4.75,False,False,True,False,Bluetooth 5.0,True,1.43,True,,,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,
378,Noise Explorer Smartwatch,5499,4.1,False,True,False,True,Bluetooth 5.3,False,1.4,True,,,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,3days Battery
379,Kratos Ultra  SW16 Smartwatch,1394,4.15,False,False,False,False,Bluetooth,True,1.85,True,,,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,
380,Withings ScanWatch Light Smartwatch,20699,4.4,False,True,False,False,Bluetooth,False,0.63,False,,,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,
381,Withings ScanWatch 2 Smartwatch,28999,4.35,False,True,False,False,Bluetooth,False,0.63,False,,,False,True,False,True,False,True,True,True,True,True,True,False,False,False,False,30days Battery
382,boAt Lunar Vista Smartwatch,1399,4.35,False,False,False,False,Bluetooth,True,1.52,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
383,Hammer Glide Smartwatch,2199,4.6,False,False,False,False,Bluetooth 5.2,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
384,Garmin Venu 3S Smartwatch,37299,4.6,True,True,True,False,Bluetooth,True,1.2,True,,8.0,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,
385,Ambrane Fyre Smartwatch,1599,4.0,False,False,False,False,Bluetooth,True,2.04,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
386,Oppo Watch SE,11699,4.75,True,True,True,True,Bluetooth 5.0,False,1.75,True,1.0,8.0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,
387,boAt Wave Glory Smartwatch,2399,4.55,False,False,False,False,Bluetooth,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
388,Wings Urbana Smartwatch,1699,4.25,False,False,False,False,Bluetooth 5.3,True,2.01,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
389,Boult Sterling Pro Smartwatch,2199,4.1,False,False,False,False,Bluetooth 5.3,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
390,Samsung Galaxy Watch 6 Classic Astro Edition,43999,4.5,True,True,True,False,Bluetooth 5.3,True,1.5,True,2.0,16.0,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,
391,boAt Lunar Orb Smartwatch,1999,4.25,False,False,False,False,Bluetooth,True,1.45,True,,,False,True,False,True,False,True,True,True,False,True,False,False,False,False,False,
392,Cellecor A7 Pro Parker Smartwatch,2599,4.5,False,False,False,False,Bluetooth 4.0,True,1.39,True,,,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,
393,Noise ColorFit Caliber 3 Plus Smartwatch,2199,4.4,False,False,False,False,Bluetooth 5.3,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
394,Fire Boltt Starlight Smartwatch,1599,4.05,False,False,False,False,Bluetooth 5.0,True,2.01,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
395,Fire Boltt Avalanche Smartwatch,1549,4.7,False,False,False,False,Bluetooth,True,1.28,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
396,Ambrane Marble Smartwatch,1499,4.35,False,False,False,False,Bluetooth,True,1.43,True,,,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,
397,boAt Lunar Space Plus Smartwatch,1299,4.25,False,False,False,False,Bluetooth,True,1.39,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
398,boAt Ultima Prism Smartwatch,1999,4.7,False,False,False,False,Bluetooth,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
399,Boult Crown R Smartwatch,1999,4.05,False,False,False,False,Bluetooth 5.3,True,1.52,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
400,Hammer Robust Smartwatch,2159,4.25,False,False,False,False,Bluetooth 5.2,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
401,Oppo Watch 4 Pro,26100,4.35,True,True,True,False,Bluetooth 5.0,True,1.9,True,2.0,32.0,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,
402,boAt Wave Neo Plus Smartwatch,1299,4.15,False,False,False,False,Bluetooth,True,1.96,True,,,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,
403,Apple Watch X,74999,4.3,True,True,False,True,Bluetooth 5.3,False,1.96,True,,,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,
404,Amazfit Bip 5 Smartwatch,7499,4.2,False,True,False,False,Bluetooth 5.3,True,1.91,True,,,False,True,False,True,False,True,True,True,True,True,True,False,False,False,False,
405,Cult Sport Ranger XR Smartwatch,3499,4.5,False,False,False,False,Bluetooth,True,1.43,True,,,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,
406,Fire Boltt Emerald Smartwatch,4699,4.15,False,False,False,False,Bluetooth,True,1.09,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
407,Fire Boltt Phoenix AMOLED Smartwatch,1799,4.45,False,False,False,False,Bluetooth 5.0,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
408,Vibez  Jewel Smartwatch,2699,4.5,False,False,False,False,Bluetooth,True,1.32,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
409,Hearmo HearFit Rex Smartwatch,1999,4.65,False,False,False,False,Bluetooth,True,1.9,True,,,False,True,False,True,False,True,True,True,True,False,False,True,True,True,True,
410,boAt Lunar Fit Smartwatch,2246,4.1,False,False,False,False,Bluetooth 5.1,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
411,Huawei Children’s Watch 5 Vitality Edition,6999,4.1,False,True,False,True,Bluetooth,False,,True,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
412,Pebble Cosmos Quest Smartwatch,2299,4.4,False,False,False,False,Bluetooth 5.0,True,1.43,True,,,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,7days Battery
413,Cellecor A10 Rare Smartwatch,1484,4.65,False,False,False,False,Bluetooth 5.0,True,2.01,True,,,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,
414,beatXP Unbound Curv Smartwatch,1499,4.15,False,False,False,False,Bluetooth,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
415,FCUK Tide FCSW01 Smartwatch,1499,4.5,False,False,False,False,Bluetooth 5.1,True,1.39,True,,,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,
416,Sekyo X1 Smartwatch,1899,4.0,False,True,False,True,,False,1.5,True,0.125,,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,
417,Samsung Galaxy Watch 6 Classic Bluetooth 43mm,33299,4.0,True,True,True,False,Bluetooth 5.3,True,1.3,True,2.0,16.0,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,
418,Samsung Galaxy Watch 6 Classic Bluetooth 47mm,36999,4.65,True,True,True,False,Bluetooth 5.3,True,1.5,True,2.0,16.0,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,
